approach,policy,mean_estimate,rmse,std,true_value
variance_prioritized_uniform_init_budget_1000_batch_single,Suboptimal,0.6016357105586984,0.008924104916676263,0.008772918529885484,0.6
variance_prioritized_uniform_init_budget_1500_batch_single,State-Optimal,0.8651901997698246,0.01054765898023017,0.01044380943266198,0.8666666666666667
variance_prioritized_uniform_init_budget_1500_batch_single,Uniform,0.45915151642153995,0.00471503201693466,0.004638060212826308,0.46
variance_prioritized_uniform_init_budget_1500_batch_single,Suboptimal,0.6017173868886048,0.008907666207239267,0.008740543434732266,0.6
variance_prioritized_uniform_init_budget_2000_batch_single,State-Optimal,0.8651746406827873,0.009651600362345025,0.009535578011733074,0.8666666666666667
variance_prioritized_uniform_init_budget_2000_batch_single,Uniform,0.4597361850273847,0.004263953446346632,0.00425578437574501,0.46
variance_prioritized_uniform_init_budget_2000_batch_single,Suboptimal,0.6014712934280894,0.008323350180679109,0.008192280139171997,0.6
variance_prioritized_uniform_init_budget_3000_batch_single,State-Optimal,0.8654817619643496,0.007652673139787419,0.007560384053131861,0.8666666666666667
variance_prioritized_uniform_init_budget_3000_batch_single,Uniform,0.4596104686952281,0.0030868296407732493,0.00306215326098466,0.46
variance_prioritized_uniform_init_budget_3000_batch_single,Suboptimal,0.6012367780775678,0.005738250428183119,0.0056033827250502296,0.6
hybrid_divergence_variance_budget_0_batch_single,State-Optimal,0.8651599068315017,0.011193815015470288,0.01109194164245834,0.8666666666666667
hybrid_divergence_variance_budget_0_batch_single,Uniform,0.459473886114519,0.007384902043871775,0.00736613754806992,0.46
hybrid_divergence_variance_budget_0_batch_single,Suboptimal,0.6018724702414971,0.009495488278536999,0.009309036085575173,0.6
hybrid_divergence_variance_budget_500_batch_single,State-Optimal,0.8645191338635106,0.010010218386309548,0.00977714554463512,0.8666666666666667
hybrid_divergence_variance_budget_500_batch_single,Uniform,0.45812421966793415,0.006986647737464335,0.006730133338445117,0.46
hybrid_divergence_variance_budget_500_batch_single,Suboptimal,0.6013119618010809,0.0066583916639225745,0.006527858437703604,0.6
hybrid_divergence_variance_budget_1000_batch_single,State-Optimal,0.8656133795309178,0.006434415223350455,0.006347620457789681,0.8666666666666667
hybrid_divergence_variance_budget_1000_batch_single,Uniform,0.4592735972545349,0.0051175649239808265,0.005065748691214324,0.46
hybrid_divergence_variance_budget_1000_batch_single,Suboptimal,0.6016219146476341,0.006245655725898371,0.006031385273901561,0.6
hybrid_divergence_variance_budget_1500_batch_single,State-Optimal,0.8656591096420836,0.005490193210294626,0.005396948242162256,0.8666666666666667
